,Item Type,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,Notes,Use in Thesis,Priority,Use for Thesis
72,document,,Framework for Material Passports - Extract from an internal BAMB Report - MPP,,,,"The framework for materials passports (MP) described in this report provides a basis for BAMB MP and supports development, prototyping, and constant improvement of the passports and the enabling materials passports platform (MPP). The framework for materials passports includes contributions of BAMB partners and was mainly developed by EPEA and SundaHus. Components In order to understand how the framework fits together, brief descriptions of its main components are provided below: Materials passports (MP) are (digital) sets of data describing defined characteristics of materials and components in products and systems that give them value for present use, recovery, and reuse. Materials passport platform (MPP) is a software platform to create materials passports. The proof of concept (PoC) is the software platform developed as the first version of the MPP. It was developed in deliverable D6 and some aspects of it will be optimised as part of other tasks to aid the production of 300 MP mandated in deliverable D7. Development Process & Content Based on Value for Users The guiding objective of MP and the MPP is to provide value for users, a primary way this is reflected is in the data MP are developed to support. Value is described here as “value propositions.” Value propositions were created through a consultative process that included:  Identifying a total of 21 stakeholder groups as potential users across the building cycle, including for example manufacturers, contractors, occupants, regulators, and recyclers. Surveying a selection of users about their preferences, or user requirements, and conducting an investigation into related platforms and tools in WP1 D1 Synthesis of the state-of-the-art.  Crafting results into value propositions. A main learning was that priorities differ depending on the user, so the platform has to be adaptable for each user’s preference.  Integrating results into a MP input workbook with questions designed to identify those values, and then developing examples of how the system will be used, referred to here as system use cases. Tagging the input fields was started in order to connect value propositions to each input, so users see which input relates to which value.  Using the workbook and system use cases as a basis for the D6 team to develop the PoC platform and for the D5 team to generate this report. A priority identified by many users is that MP must deliver immediate and short-term value additional to providing tools to estimate long term value of materials. Value propositions like reduced construction waste disposal costs, improved environmental performance, quicker maintenance, more cost-effective data management, and healthier buildings rank alongside long-term recoverability of materials. For example, as healthy buildings and productivity of occupants increase in importance, materials health ranks higher for owners and occupants. Materials health also contributes to improving residual value of those materials so they are not liabilities when recovered. Calculating materials health involves more than just totaling the contents of buildings. Those types of values have basic impacts on the type of data gathered for MP and how the MPP is designed.",,,,2.0,Challenges and Requirements for MPP (Material Passport Plattform). Look at information needed for MPs and why the MPP failed - proof of need for other approach?
73,blogPost,101Studios,PCDS.lu – Product circularity data sheet » The Circularity Dataset Initiative,,,,101,,,,2.0,tbd
74,blogPost,101Studios,PCDS.lu – Product circularity data sheet » The audit system,,,,101,,,,2.0,tbd
75,blogPost,101Studios,PCDS.lu – Product circularity data sheet » PCDS IT system,,,,101,,,,1.0,tbd
76,journalArticle,"Krijnen, Thomas; Beetz, Jakob",An efficient binary storage format for IFC building models using HDF5 hierarchical data format,Automation in Construction,09265805,10.1016/j.autcon.2020.103134,"The Industry Foundation Classes (IFC) are a prevalent data model in which Building Information Models can be exchanged, typically with a file-based nature. Processing the full extent of these models can be time-consuming. Considering the multi-disciplinary nature of the construction industry, stakeholders will typically only be interested in a small subset, depending on the purpose of the exchange. Therefore, the retrieval of relevant subsets, whether spatially, based on discipline, or others, is necessary to effectively consume such datasets in downstream applications.",2020-05,,,3.0,Look at conclusion. Might be interesting to see how the information are sifted. Otherwise discard
77,journalArticle,"Cao, Jianpeng; Bucher, David F.; Hall, Daniel M.; Eggers, Mike",A graph-based approach for module library development in industrialized construction,Computers in Industry,01663615,10.1016/j.compind.2022.103659,"A library of prefabricated parts and assemblies, i.e. module library, can help a firm in the construction industry transition to a more industrialized and product-oriented approach. However, existing approaches to manage such libraries are oriented around single-use projects. There is need for a more flexible data structure to support storage, analysis and reuse of design information. This paper proposes a graph-based approach to develop a module library. The approach includes a graph representation of modules, a graph database development, and a graph-based similarity analysis. The proposed approach is validated using a prefabricated timber panel system via a web-based application. Implementation demonstrates a more ef­ ficient process for bill of material generation and identifying the impacts of design changes.",2022-08,,,2.0,Look at GraphDatabase development. What has been used and why? 
78,journalArticle,"Ismail, Ali; Nahar, Ahmed; Scherer, Raimar; Dresden, TU",Application of graph databases and graph theory concepts for advanced analysing of BIM models based on IFC standard,,,,"In this paper we present a workflow for automatic transformation of IFC schema and IFC models into an IFC Meta and object graph databases. The aim of this research is to study and demonstrate the potential of using graph theory concepts and graph databases in order to manage, visualize and analyse the huge information and complex relationships of BIM models based on IFC standard. For the validation a set data retrieval queries and advanced model analysis for model topology analysis and comparison of different IFC models are carried out in order to demonstrate the flexibility and advantages of the suggested approach.",,,,2.0,Look at GraphDatabase development. What has been used and why? Also look at interoperability between different GraphDBs
79,webpage,,What is a Knowledge Graph?,,,,"Learn about knowledge graphs, networks of semantic metadata which represent a collection of related entities.",2021-11-04,,,3.0,Definition of Knowledge Graph
80,journalArticle,"Ali, Wajid; Shafique, Muhammad Usman; Majeed, Muhammad Arslan; Raza, Ali",Comparison between SQL and NoSQL Databases and Their Relationship with Big Data Analytics,Asian Journal of Research in Computer Science,2581-8260,10.9734/ajrcos/2019/v4i230108,"A key ingredient in the world of cloud computing is a database that can be used by a great number of users. Distributed storage mechanisms become the de-facto method for data storage used by companies for the new generation of web applications. In the world of data storage, NoSQL (usually interpreted as ""not only SQL"" by developers) database is a growing trend. It is said that NoSQL alternates with the most widely used relational databases for the data storage, but, as the name implies, it does not fully replace the SQL. In this paper we will discuss about SQL and NoSQL databases, comparison of traditional SQL with NoSQL databases for Big Data analytics, NoSQL data models, types of NoSQL data stores, characteristics and features of each data store, advantages and disadvantages of NoSQL and RDBMS.",2019-10-21,,,1.0,Comparision between SQL and NoSQL. Why NoSQL has been chosen for DB instead of SQL.
81,conferencePaper,"Gupta, Adity; Tyagi, Swati; Panwar, Nupur; Sachdeva, Shelly; Saxena, Upaang",NoSQL databases: Critical analysis and comparison,2017 International Conference on Computing and Communication Technologies for Smart Nation (IC3TSN),,10.1109/IC3TSN.2017.8284494,"The current research explores and differentiates between various forms in which NoSQL databases exist. It examines the need of NoSQL and how they have become an important alternative to relational databases. NoSQL databases can be categorized into four major classifications which are: key value stores, graph databases, wide column stores, and document stores. These categories are compared on the basis of functional features and non-functional features. The non-functional features include performance, scalability, flexibility, structure and complexity. The functional features include de-normalization, joins, atomicity, aggregation and keys. Then for further analysis, one database is selected from each of these categories that is, MongoDB (document stores), Cassandra (wide column stores), Redis (key value stores), and Neo4j (graph databases). Selected databases are compared on their data model, CAP theorem, distributive properties and other factors. By performing the comparison on non-functional features, it has been found that a document store can be used if high performance, flexibility and scalability are required and if we have represented the data in JSON format. Column store can be used for semi structured data which requires high performance and scalability. Redis is aninmemory store and performs exceptionally fast in the case of single shard operation. Graph databases can be used when it comes to highly interconnected data and continuously evolving data models. The comparison between MongoDB, Cassandra, Redis and Neo4j concluded that all of them follow horizontal scaling and are schema free. Except Neo4j, others don’t have complete ACID properties. Write and delete operations are fast for databases MongoDB, Redis and Cassandra, whereas read operation is comparatively slow in Cassandra. In case of Neo4j, REST performance is similar to MongoDB, whereas embedded is comparatively slow. We also discuss how these databases work in a distributed environment.",2017-10,,,1.0,Database design and choice - build up argument for use of NoSQL and differentiate between different NoSQL DBs.
82,journalArticle,"Hart, Edmund M.; Barmby, Pauline; LeBauer, David; Michonneau, François; Mount, Sarah; Mulrooney, Patrick; Poisot, Timothée; Woo, Kara H.; Zimmerman, Naupaka B.; Hollister, Jeffrey W.",Ten Simple Rules for Digital Data Storage,PLOS Computational Biology,1553-7358,10.1371/journal.pcbi.1005097,No Abstract,2016-10-20,,,2.0,tbd
83,journalArticle,"Abourezq, Manar; Idrissi, Abdellah",Database-as-a-Service for Big Data: An Overview,International Journal of Advanced Computer Science and Applications,"21565570, 2158107X",10.14569/IJACSA.2016.070124,"The last two decades were marked by an exponential growth in the volume of data originating from various data sources, from mobile phones to social media contents, all through the multitude devices of the Internet of Things. This flow of data can’t be managed using a classical approach and has led to the emergence of a new buzz word: Big Data. Among the research challenges related to Big Data there is the issue of data storage. Traditional relational database systems proved to be unable to efficiently manage Big Data datasets. In this context, Cloud Computing plays a relevant role, as it offers interesting models to deal with Big Data storage, especially the model known as Database as a Service (DBaaS). We propose, in this article, a review of database solutions that are offered as DBaaS and discuss their adaptability to Big Data applications.",2016,,,3.0,"Databases (in this case for BigData) and cloud DBs. Look at conclusion, maybe out of interest, otherwise discard"
84,journalArticle,"Suthakar, Uthayanath; Magnoni, Luca; Smith, David Ryan; Khan, Akram; Andreeva, Julia",An efficient strategy for the collection and storage of large volumes of data for computation,Journal of Big Data,2196-1115,10.1186/s40537-016-0056-1,"In recent years, there has been an increasing amount of data being produced and stored, which is known as Big Data. The social networks, internet of things, scientific experiments and commercial services play a significant role in generating a vast amount of data. Three main factors are important in Big Data; Volume, Velocity and Variety. One needs to consider all three factors when designing a platform to support Big Data. The Large Hadron Collider (LHC) particle accelerator at CERN consists of a number of data-intensive experiments, which are estimated to produce a volume of about 30 PB of data, annually. The velocity of these data that are propagated will be extremely fast. Traditional methods of collecting, storing and analysing data have become insufficient in managing the rapidly growing volume of data. Therefore, it is essential to have an efficient strategy to capture these data as they are produced. In this paper, a number of models are explored to understand what should be the best approach for collecting and storing Big Data for analytics. An evaluation of the performance of full execution cycles of these approaches on the monitoring of the Worldwide LHC Computing Grid (WLCG) infrastructure for collecting, storing and analysing data is presented. Moreover, the models discussed are applied to a community driven software solution, Apache Flume, to show how they can be integrated, seamlessly.",2016-12,,,2.0,3Vs. Definition - look at conclusion
85,conferencePaper,Jing Han; Haihong E; Guan Le; Jian Du,Survey on NoSQL database,2011 6th International Conference on Pervasive Computing and Applications,,10.1109/ICPCA.2011.6106531,"With the development of the Internet and cloud computing, there need databases to be able to store and process big data effectively, demand for high­ performance when reading and writing, so the traditional relational database is facing many new challenges. Especially in large scale and high­ concurrency applications, such as search engines and SNS, using the relational database to store and query dynamic user data has appeared to be inadequate. In this case, NoSQL database created This paper describes the background, basic characteristics, data model of NoSQL. In addition, this paper classifies NoSQL databases according to the CAP theorem. Finally, the mainstream NoSQL databases are separately described in detail, and extract some properties to help enterprises to choose NoSQL.",2011-10,,,2.0,NoSQL DB comparision
86,document,"Frank McSherry; Derek G. Murray; Isard, Michael",Scalability! But at what Cost?,,,,No Abstract,,,,3.0,tbd
87,book,"Fourny, Ghislain",Big Data - From clay tablets to integrated lakehouses,,,,No Abstract,,,,3.0,For basics and theory
88,journalArticle,"Vatika, Sharma; Meenu, Dave",SQL and NoSQL Databases,,,,"NoSQL (Not only SQL) is a database used to store large amounts of data. NoSQL databases are distributed, non-relational, open source and are horizontally scalable (in linear way). NoSQL does not follow property of ACID as we follow in SQL. In this research paper, we are surveying about NoSQL, its background, fundamentals like ACID, BASE and CAP theorem. Also on the basis of CAP theorem, study is carried out about the various types of NoSQL data stores with their examples, characteristics, and pros and cons of NoSQL.",2012-08,,,3.0,Look at conclusion and method. otherwise discard
89,bookSection,"Ismail, A.; Scherer, R.J.",A graph-based approach for management and linking of BIM models with further AEC domain models,"eWork and eBusiness in Architecture, Engineering and Construction",,,"This paper presents a graph-based data management approach for automatic transformation and linking of BIM models with further domain models. The BIM transformation is based on IFC standard and covers both of IFC schema and IFC models. The aim of this research is to demonstrate the potential of graph theory concepts and applying a graph database framework for analyzing, managing and visualization the complex information and relationships inside BIM models and in particular to use this information to connect the BIM model with external models generating multimodels, i.e. a linked data set. It is demonstrated that graph-based approaches is an excellent alternative to current approaches which are based on traditional SQL databases and usually limited to query single BIM models. For validation of the approach and demonstration purpose, a set of advanced queries for data retrieval, compare, classification are shown. Also, a prototype web application with simple GUI is also developed for easy access of the connected graph model.",2018-09-03,,,1.0,GraphDB and link to other DBs and models 
90,journalArticle,"Linder, Lucy; Vionnet, Damien; Bacher, Jean-Philippe; Hennebert, Jean",Big Building Data - a Big Data Platform for Smart Buildings,Energy Procedia,18766102,10.1016/j.egypro.2017.07.354,No Abstract,2017-09-01 00:00:00,,,2.0,tbd
91,journalArticle,"Berglund-Brown, J; Kedir, F; Riabova, A; Hall, D",Assessing Circular Information Flow in Industrialized Construction: a framework for evaluating data for circular construction,IOP Conference Series: Earth and Environmental Science,"1755-1307, 1755-1315",10.1088/1755-1315/1078/1/012005,"A circular economy offers a solution for improving both the efficiency and environmental impact of the built environment. As the construction industry transitions to a circular economy, adequate information flow is necessary to keep products in the value chain for as long as possible. Industrialized construction firms show high potential for a successful transition to a circular economy because of optimized information flow through the use of product platforms, the use of information communication technologies, and the integration of actors. However, there is no current framework to assess whether construction firms using industrialized construction methods have a circular information flow. In this research, four characteristics are identified as main descriptors of a circular information flow framework: Completeness, Availability, Accessibility, and Incorporation of Information into Business Strategy. Using the framework, industrialized construction firms are asked to self-assess their performance through pre-defined survey questions. The findings from sixteen industrialized construction firms reveal the need for more complete data about recyclability potentials of products and unique materials and product identifiers, with 47% of firms indicating they have insufficient information. The survey of companies also indicates a need for more feedback about the reuse, recycling, and remanufacturing phases to be available, with only 20% of firms gathering feedback about reuse, 13% about recycling, and 20% about remanufacturing. The stakeholders with the most consistent access to information about design and materials of a project are the manufacturer, engineer, architect, and assemblers. 13% of firms employed RFID tags. More accessibility of information is needed for actors outside of the firm. Additionally, only 13% of firms implemented a take-back strategy, emphasizing the need for incorporating these business strategies within the firm. 17% of firms, however, had CE in mind during strategic development, demonstrating the potential for CE adoption in industry. Finally, the paper discusses future opportunities for circular information flow, such as employing blockchain technology.",2022-09-01 00:00:00,,,2.0,"Why information for Reuse is important, maybe why open linked data is important. Read conclusion. "
92,journalArticle,"Bilal, Muhammad; Oyedele, Lukumon O.; Qadir, Junaid; Munir, Kamran; Ajayi, Saheed O.; Akinade, Olugbenga O.; Owolabi, Hakeem A.; Alaka, Hafiz A.; Pasha, Maruf","Big Data in the construction industry: A review of present status, opportunities, and future trends",Advanced Engineering Informatics,14740346,10.1016/j.aei.2016.07.001,"The ability to process large amounts of data and to extract useful insights from data has revolutionised society. This phenomenon—dubbed as Big Data—has applications for a wide assortment of industries, including the construction industry. The construction industry already deals with large volumes of heterogeneous data; which is expected to increase exponentially as technologies such as sensor networks and the Internet of Things are commoditised. In this paper, we present a detailed survey of the literature, investigating the application of Big Data techniques in the construction industry. We reviewed related works published in the databases of American Association of Civil Engineers (ASCE), Institute of Electrical and Electronics Engineers (IEEE), Association of Computing Machinery (ACM), and Elsevier Science Direct Digital Library. While the application of data analytics in the construction industry is not new, the adoption of Big Data technologies in this industry remains at a nascent stage and lags the broad uptake of these technologies in other ﬁelds. To the best of our knowledge, there is currently no comprehensive survey of Big Data techniques in the context of the construction industry. This paper ﬁlls the void and presents a wide-ranging interdisciplinary review of literature of ﬁelds such as statistics, data mining and warehousing, machine learning, and Big Data Analytics in the context of the construction industry. We discuss the current state of adoption of Big Data in the construction industry and discuss the future potential of such technologies across the multiple domain-speciﬁc sub-areas of the construction industry. We also propose open issues and directions for future work along with potential pitfalls associated with Big Data adoption in the industry.",2016-08-01 00:00:00,,,2.0,"Big Data in construction. Read conclusion, methodology. May help to make point about BigData in Reuse/ CE"
93,journalArticle,"McGlinn, Kris; Wagner, Anna; Pauwels, Pieter; Bonsma, Peter; Kelly, Philip; O’Sullivan, Declan",Interlinking geospatial and building geometry with existing and developing standards on the web,Automation in Construction,09265805,10.1016/j.autcon.2018.12.026,"Geometric data plays a central role in the geospatial domain, architectural design and construction industry. For upcoming, new approaches to store building data, such as the Semantic Web, no universal common agreement exists on the combination of geometric and non-geometric data. It can therefore be unclear to users on how to represent their geometries, leading to a decelerated application and advancement of making building data available over the web. This gap can only be bridged if a common approach on the representation of geometries on the web is achieved. To first generate a common understanding of geometry representations, an overview of existing and developing geometry (web) standards needs to be given and discussed, i.e., the Industry Foundation Classes (IFC), CityGML, GeoSPARQL, and the OntoBREP and GEOM ontologies. This discussion needs to consider general contexts, e.g., 2D, 3D, detailed, or tessellated geometries, and specific use cases of the construction industry. Based on these discussions, this paper aims to propose a general recommendation for web-based geometry representations to enhance future applications of building data on the web. Due to the variety of use cases and their requirements, as well as technical constraints based on deviant interpretations of geometry descriptions from different geometry kernels, it became clear, that no approach or standard is generally superior to others. The biggest distinction identified in this paper is posed between the context of visualizing, where simplified, tessellated geometry holds the highest advantage, and (parametric) modeling, which requires semantically detailed geometry representations. Hence, we recommend to interlink non-geometric data with multiple geometry representations, to address all relevant contexts and use cases appropriately. The individual geometry representations should be chosen based on the relevant use cases for an optimal experience when using and exchanging geometry on the web. With this recommendation, the benefits of all discussed approaches can be exploited while avoiding their respective challenges.",2019-07-01 00:00:00,,,3.0,Read Conclusion. Purely out of interest. Not necessarily valuable for Thesis.
94,journalArticle,"Tchouanguem Djuedja, Justine Flore; Abanda, Fonbeyin Henry; Kamsu-Foguem, Bernard; Pauwels, Pieter; Magniont, Camille; Karray, Mohamed Hedi",An integrated Linked Building Data system: AEC industry case,Advances in Engineering Software,09659978,10.1016/j.advengsoft.2020.102930,"Environmental assessment is a critical activity for ensuring buildings are performing according to specified re­ quirements, and efficient, seamless exchange of building information is crucial for environmental assessment. Therefore, all those involved in built environment issues should be able to access and share not only building information but also data about products, especially environmental assessment results for the products used in building projects. Of the several approaches that have been proposed to achieve efficient information exchange, semantic web technologies are amongst the most promising due to their capability to share data and enhance interoperability between the most heterogeneous systems. This study proposes an approach that can be used to make environmental data available in the early phases of the building lifecycle. It relies on Semantic Web techniques, especially Linked Data principles, while building on emerging Building Information Modelling (BIM) technology to propose an approach that facilitates information exchange to enhance the sustainability assess­ ment of buildings. The paper ends with an illustration of how lifecycle inventory databases can be integrated, linked to BIM software and used in exchanging environmental building data.",2021-02-01 00:00:00,,,3.0,"Read Conclusion, look at linked data and semantics. Otherwise discard"
95,journalArticle,"Ryen, Vetle; Soylu, Ahmet; Roman, Dumitru",Building Semantic Knowledge Graphs from (Semi-)Structured Data: A Review,Future Internet,1999-5903,10.3390/fi14050129,"Knowledge graphs have, for the past decade, been a hot topic both in public and private domains, typically used for large-scale integration and analysis of data using graph-based data models. One of the central concepts in this area is the Semantic Web, with the vision of providing a well-deﬁned meaning to information and services on the Web through a set of standards. Particularly, linked data and ontologies have been quite essential for data sharing, discovery, integration, and reuse. In this paper, we provide a systematic literature review on knowledge graph creation from structured and semi-structured data sources using Semantic Web technologies. The review takes into account four prominent publication venues, namely, Extended Semantic Web Conference, International Semantic Web Conference, Journal of Web Semantics, and Semantic Web Journal. The review highlights the tools, methods, types of data sources, ontologies, and publication methods, together with the challenges, limitations, and lessons learned in the knowledge graph creation processes.",2022-04-24 00:00:00,,,1.0,Semantics and Knowledge Graphs
96,journalArticle,"Pauwels, Pieter; Terkaj, Walter",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,Automation in Construction,9265805,10.1016/j.autcon.2015.12.003,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, ﬂexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry deﬁned through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology.",2016-03-01 00:00:00,,,2.0,"Ontologies, Semantics and linked Open Data (LOD) - defintions and better/ deeper understanding"
97,journalArticle,"Pauwels, Pieter; Krijnen, Thomas; Terkaj, Walter; Beetz, Jakob",Enhancing the ifcOWL ontology with an alternative representation for geometric data,Automation in Construction,9265805,10.1016/j.autcon.2017.03.001,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to the architectural design and construction industry, because one of the key data models in this domain, namely the Industry Foundation Classes (IFC), is represented using the EXPRESS information modelling language. These conversion efforts have by now resulted in a recommended ifcOWL ontology that stays semantically close to the EXPRESS schema. Two major improvements could be made in addition to this ifcOWL basis. First, the ontology could be split into diverse modules, making it easier to use subsets of the entire ontology. Second, geometric aggregated data (e.g. lists of coordinates) could be serialised into alternative, less complex semantic structures. The purpose of both improvements is to make ifcOWL data smaller in size and complexity. In this article, we focus entirely on the second topic, namely the optimization of geometric data in the semantic representation. We outline and discuss the diverse available options in optimizing the data representations used. We quantify the impact of these measures on the ifcOWL ontology and instance model size. We conclude with an explicit recommendation and give an indication of how this recommendation might be implemented in combination with the already available ifcOWL ontology.",2017-08-01 00:00:00,,,3.0,"Ontologies, Semantics and linked Open Data (LOD) - definitions, read conclusion otherwise discard"
98,book,,Life Cycle Analysis and Assessment in Civil Engineering: Towards an Integrated Vision,,,,No Abstract,2018-10-31 00:00:00,,,2.0,tbd
