,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
275,"Barresi S., Rezgui Y., Meziane F., Lima C.",Methodology to support semantic resources integration in the construction sector,2006,"ICEIS 2006 - 8th International Conference on Enterprise Information Systems, Proceedings",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953898750&partnerID=40&md5=e1e75a16440f1a8e4c753b2a1d710bb9,"Ontologies, taxonomies, and other semantic resources, are used in a variety of sectors to facilitate knowledge reuse and information exchange between people and applications. In recent years, the need to access multiple semantic resources has led to the development of a variety of projects and tools aiming at integrating existing resources. This paper describes the methodology used during the FUNSIEC project, to develop an open infrastructure for the European Construction sector (OSIECS). This infrastructure aims towards facilitating integration among Construction related semantic resources, providing a base for the development of a new generation of e-services for the domain.",Ontology; Schema matching; Semantic resources,Construction sectors; E-services; Information exchanges; Knowledge reuse; Schema matching; Semantic resources; Construction industry; Integration; Knowledge management; Ontology; Semantics; Information systems,Conference Paper
40,"Huitzil I., Molina-Solana M., Gómez-Romero J., Bobillo F.",Minimalistic fuzzy ontology reasoning: An application to Building Information Modeling,2021,Applied Soft Computing,10.1016/j.asoc.2021.107158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100955458&doi=10.1016%2fj.asoc.2021.107158&partnerID=40&md5=34db45d252472faf5d81a7366dcd8345,"This paper presents a minimalistic reasoning algorithm to solve imprecise instance retrieval in fuzzy ontologies with application to querying Building Information Models (BIMs)—a knowledge representation formalism used in the construction industry. Our proposal is based on a novel lossless reduction of fuzzy to crisp reasoning tasks, which can be processed by any Description Logics reasoner. We implemented the minimalistic reasoning algorithm and performed an empirical evaluation of its performance in several tasks: interoperation with classical reasoners (Hermit and TrOWL), initialization time (comparing TrOWL and a SPARQL engine), and use of different data structures (hash tables, databases, and programming interfaces). We show that our software can efficiently solve very expressive queries not available nowadays in regular or semantic BIMs tools. © 2021 Elsevier B.V.",Building Information Modeling; Flexible querying; Fuzzy ontologies,Construction industry; Data description; Data structures; Information theory; Knowledge representation; Ontology; Semantics; Building Information Model - BIM; Description logic; Empirical evaluations; Instance retrieval; Knowledge representation formalism; Programming interface; Reasoning algorithms; Reasoning tasks; Architectural design,Article
167,Naaranoja M.,Multi-ontology Sense Making – Decision Making of Project Core Team,2015,Procedia Manufacturing,10.1016/j.promfg.2015.07.280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009945349&doi=10.1016%2fj.promfg.2015.07.280&partnerID=40&md5=7ee2be15a4860f4581d9b563f694485e,"In order to understand core team's management task this paper studies the landscape of the decision making of the construction project core team. This paper uses multi-ontology sense making framework developed by Snowden. The four described situation illustrate the use of this framework. Firstly, a project core team create a project plan –timetable and cost estimate, that is supposed to be followed (rules and order) when making investment decision. Secondly, a project core team uses the plan but since the plan cannot be followed due to an unexpected situation the team changes the plan by calculating an optimal solution. In other words the team uses heuristic thinking when they change the rule (heuristics and order). Thirdly, the design group guides the design process by rules to get information for designing new facilities (rules and un-order). Fourthly, there are situations when the stakeholders have different kind of opinions in crisis and team cannot follow the preset orderly way of working (heuristics and un-order). © 2015 The Authors",Construction industry; Core team; Decision making; Ontology; Project; Sense making,,Article
25,"Olugboyega O., Oseghale G.E., Aigbavboa C.",Multiple holistic case study of project-level building information modelling (BIM) adoption in Nigeria,2022,Construction Innovation,10.1108/CI-10-2021-0199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127312734&doi=10.1108%2fCI-10-2021-0199&partnerID=40&md5=9da5a43f54af39cfce4ad43ae274e5fd,"Purpose: This study aims to undertake a contextual analysis of project-level building information modelling (BIM) adoption in Nigeria and demonstrate how BIM is applied across different projects in Nigeria. Design/methodology/approach: This research generates contextual and holistic understandings of multiple project-level cases of BIM adoption through an interpretive paradigm guided by relativist ontology and subjectivist epistemology. Two models of project-level BIM adoption (ten-factor theory of BIM adoption and strategic-contingent model of BIM adoption) were merged to formulate the BIM adoption assessment scale (BIM-AAS). A qualitative-oriented case study protocol was developed to extract valid and reliable data from external and internal project data based on BIM-AAS features. The extracted data were analysed using the pattern-matching technique and cross-case analysis. Findings: The results indicate that there was substantial use of BIM tools and technologies in the projects. All the projects adopted collaborative procurement and team and developed integrated building information models. The use of BIM tools, technologies and processes in the projects was found to be above average. The complexities and expectations levels of the projects compliment the nature of BIM adoption in the projects. Research limitations/implications: The BIM-AAS adopted in this research is an excellent example of a project-level BIM adoption analytical tool. It can be assumed in future research. Also, this research contributes to the theory that the level of project complexity and expectations must align with the level of BIM adoption in projects. The study’s findings ratify BIM tools, technologies and processes as the elements of project-level BIM adoption. Practical implications: This research substantiates the actual nature and structure of BIM adoption in Nigeria, thereby simplifying the development of initiatives towards BIM adoption in projects and determining the appropriate strategies for BIM implementation and innovation in the Nigerian construction industry. The most important initiative that the Nigerian government can make to drive BIM implementation is the automating of code checking for building rules and regulations in Nigeria. Originality/value: Previous studies have only reported cases of project-level BIM adoption using surveys and without a standardised project-level BIM adoption model to guide the analysis. This study is the first to formulate and use BIM adoption models for a uniform, critical and contextual analysis of project-level BIM adoption. © 2022, Emerald Publishing Limited.",Africa; BIM; BIM adoption; BIM Africa; BIM implementation; BIM Nigeria; BIM projects in Africa; BIM projects in Nigeria; Strategic-contingent model of BIM adoption; Ten-factor theory of BIM adoption,Construction industry; Data mining; Digital storage; Housing; Information theory; Pattern matching; Africa; Building information modeling adoption; Building information modeling africa; Building information modeling implementation; Building information modeling nigerium; Building information modeling project in africa; Building information modeling project in nigerium; Building Information Modelling; Model implementation; Model programs; Nigeria; Strategic-contingent model of building information modeling adoption; Ten-factor theory of building information modeling adoption; Architectural design,Article
136,"Pinka R., Kaiser J.",Multipurpose digital platform in the construction industry development processes for risk and life-cycle assessment,2017,Proceedings of the 29th International Business Information Management Association Conference - Education Excellence and Innovation Management through Vision 2020: From Regional Development Sustainability to Global Economic Growth,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029741497&partnerID=40&md5=0eeee18044627ccb30bcb755611f89d7,"Motivation of the topic is based on actual public experience with a threat (risk) assessment and with the need for long-term life cycle of projects within construction industry multi-criterial assessment. It shows examples of the risk causes for describing risk assessment lack within construction development process. It also provides description and the actual state of long-term projects analysis. This paper identifies possible properties for platform which can be risk assessment and long-term life cycle evaluation created, maintained and updated for public welfare. Finally, the paper describes the target to next questions and steps in scientific focus about further platform utilization.",Bim framework; Construction industry; Information technologies; Life-cycle and risk assessment; Ontology,Construction industry; Economics; Information management; Information technology; Innovation; Life cycle; Ontology; Regional planning; Sustainable development; Bim framework; Construction development; Industry development; Life Cycle Assessment (LCA); Life cycle evaluations; Long-term projects; Platform utilizations; Public experiences; Risk assessment,Conference Paper
86,"Costin A., Eastman C.",Need for Interoperability to Enable Seamless Information Exchanges in Smart and Sustainable Urban Systems,2019,Journal of Computing in Civil Engineering,10.1061/(ASCE)CP.1943-5487.0000824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061650123&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000824&partnerID=40&md5=b57b13b5da2723edc7bea0b953cfbee5,"Over the last few decades, the built environment and the architecture, engineering, construction, and operation (AECO) industry have grown in the amount of computer software, technologies, and automation to help improve all facets of the industry. This new era of smart and sustainable urban systems is enabling transformative change in the way urban communities are interacting among themselves and with the built environment to become more sustainable and resilient to meet the demands of the growing urban population. Interoperability has been shown to be a major barrier for the seamless transfer of information between the heterogeneous landscape of the internet of things (IoT) and smart cities. In order to facilitate interoperability of these systems, this paper conducts a holistic review of principles, methods, and requirements needed to achieve interoperability of smart and sustainable urban systems. Significantly, the use of ontologies, namely the semantic web, has been shown to be the most promising method to enable interoperability. Existing ontologies and frameworks that can enable smart and sustainable urban systems in the scope of the AECO industry are presented. Finally, various challenges revealed during the qualitative review are discussed to promote research opportunities. © 2019 American Society of Civil Engineers.",Internet of things (IoT); Interoperability; Ontologies; Semantic web; Smart and sustainable cities,Internet of things; Ontology; Semantic Web; Sustainable development; Built environment; Heterogeneous landscapes; Information exchanges; Internet of thing (IOT); Internet of Things (IOT); Research opportunities; Sustainable cities; Sustainable urban systems; Interoperability,Article
230,Fellows R.,New research paradigms in the built environment,2010,Construction Innovation,10.1108/14714171011017545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986133580&doi=10.1108%2f14714171011017545&partnerID=40&md5=6dbc5a8665cad8dcfed02fb23ed33ceb,"Purpose – The purpose of this paper is to review aspects of innovation, research and development paradigms and paradigmatic changes which have occurred in construction over recent years. Design/methodology/approach – The approach combines reviewing literature and some theory within the context of the author's experiences as a participant in the construction industry and associated research and education. Findings – The paper concludes that much has been recycled, often under amended titles. There is notable scope and advisability in paradigm shifts from reductionist/determinist approaches to stochastic approaches which accommodate complexities of interdependencies plus moves from “hard” positivism to “softer” constructivist perspectives. Research limitations/implications – The paper is limited in validity and reliability due to the methods employed. However, the conclusion does stress the essential of researchers being aware of and articulating the limitations of their work; the need for sound theoretical foundations is stressed in regard to both topics and methods. Practical implications – Proper examinations of research, including ontologies, epistemologies, validities and reliabilities, as well as the topics under investigation, promotes good research and its application and avoids recycling of “popular” topics in periodically amended guises. Originality/value – The paper expresses the author's original views, developed over a quite extensive and varied career; however, it expresses views held fairly widely but seldom expressed beyond “closed doors”. © 2010, Emerald Group Publishing Limited",Construction industry; Epistemology; Innovation; Research and development; Research methods,,Article
121,"Rasmussen M.H., Lefrançois M., Bonduel M., Hviid C.A., Karlshø J.",OPM: An ontology for describing properties that evolve over time,2018,CEUR Workshop Proceedings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051428907&partnerID=40&md5=57f3c2a9965ceda72830374fc9aed2a5,"The W3C Linked Building Data on the Web community group discusses different potential patterns to associate values to properties of building elements. In this paper, we are interested in enabling a different value association method for these and other properties, to account for changes in time, or to annotate a value association with metadata such as provenance, reliability and origin data. Existing ontologies in the Architecture, Engineering and Construction (AEC) industry are reviewed first and we motivate the use of the Smart Energy-Aware Systems (SEAS) ontology as a starting point. Next, we list new competency questions to represent the aforementioned metadata and develop an extension of SEAS named the Ontology for Property Management (OPM). We illustrate the use of OPM with different scenarios where a value association needs to be annotated or updated in a dataset using SPARQL update queries. © 2018 CEUR-WS. All Rights Reserved.",,"Architecture; Data handling; Linked data; Metadata; Power management; Architecture , engineering and construction industries; Association methods; Building element; New competencies; Other properties; Property management; Smart energies; Web community; Ontology",Conference Paper
64,Teston L.,On the nature of public interiority,2020,Interiority,10.7454/in.v3i1.72,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096366688&doi=10.7454%2fin.v3i1.72&partnerID=40&md5=e10b1ee62b4a5777195cb0abd055df26,"This essay explores the intersection between interiority, urbanism, and human perception. I view interiority as a condition of the senses rather than an indoor place. Revelations of interiority can be discovered within the urban realm, in public spaces, and in intimate interior conditions. I am especially interested in “public interiority” or these cases of interiority that can be found in exterior urban places. Understanding interiority as a perceived condition grounds the built environment in phenomenology, varied human experiences, and everyday conditions. Herein, I begin with an ontology of interiority, which focuses on various ways of perceiving the nature of things—phenomenology, structuralism, and object-oriented-ontology (OOO). From there, I will analyse a taxonomy of public interiorities, including various strains of form-based, programmatic, atmospheric, and psychological public interiorities. Using real-world examples from my previous research in Bucharest, Romania, New York, and Knoxville, Tennessee as well as well-established examples in art and design, I will then analyse various urban experiences of interiority, and the way built conditions shape experience. In this way, I will bring the interior to the city.1. © 2020, Faculty of Engineering, Universitas Indonesia. All rights reserved.",Atmospheres; Ontology; Phenomenology; Public interiority; Urbanism,,Article
34,"Wu H., Zhong B., Li H., Guo J., Wang Y.",On-Site Construction Quality Inspection Using Blockchain and Smart Contracts,2021,Journal of Management in Engineering,10.1061/(ASCE)ME.1943-5479.0000967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114204823&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000967&partnerID=40&md5=cdc11484048783b1672019c36a616607,"Typically, on-site construction quality inspection (OCQI) is manually conducted, and its effectiveness highly depends on the self-discipline of responsible personnel. Furthermore, construction quality information is still recorded on paper, with the risk of document loss and data manipulation, jeopardizing quality accountability. Blockchain has attracted increasing attention from the construction industry because it can record information in an immutable and transparent way and automate some businesses with smart contracts. These properties can tackle information fraud and improve the automation level of OCQI. Unfortunately, very few documented blockchain solutions for OCQI exist. To fill the theoretical knowledge gap, the design thinking approach was adopted to present a blockchain-based conceptual framework. The consortium network and Hyperledger Fabric (HLF) were selected as the suitable blockchain type and development platform for OCQI. The consensus process in HLF and smart contracts-based compliance checking are illustrated. Moreover, the benefits of integrating the Internet of Things (IoT) and ontology technology with blockchain are analyzed in detail, which can facilitate the coevaluation of these three technologies. Finally, a prototype system was developed to vividly show the theoretical feasibility. The proposed blockchain solution can be fine-tuned and evaluated in future research. Challenges hindering the practical implementation of blockchains are systematically discussed within the technology-organization-environment (TOE) theory, which can be reused in future investigations to identify construction stakeholders' concerns on adopting blockchains. © 2021 American Society of Civil Engineers.",Blockchain; Compliance checking; Construction quality information; On-site construction quality inspection; Smart contracts,Compliance control; Construction industry; Internet of things; Compliance checking; Conceptual frameworks; Construction quality; Construction stakeholders; Development platform; Internet of thing (IOT); On-site construction; Technology organization environments; Blockchain,Article
46,"Karlapudi J., Valluru P., Menzel K.",Ontological approach for LOD-sensitive BIM-data management,2021,CEUR Workshop Proceedings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124426983&partnerID=40&md5=0d4795a39b7451e22b2d0a9a231c7fbc,"The construction industry is a collaborative environment with the involvement of multiple disciplines and activities throughout the Building Lifecycle Stages. The collaboration requires the iterative and coordinated exchange of information for significant improvement of the building design, construction and management. The successful representation of these information refinements enables the identification of the required level of detail (LOD) for data sharing parameters between the multiple disciplines. Since the last decade, LOD is a promising approach for efficient representation of semantically rich BIM data in different levels. Despite the improvement, there is a lack of efficient implementation in building lifecycle functionalities, because of their fundamental heterogeneity, versatility and adaptability. The proposed approach enables the representation of LOD-sensitive BIM data through the formal definition of ontologies. The paper validates this approach based on the concept of competency questions and their respective SPARQL queries. With the demonstration and validation, the paper provides the conceptual proof for the practical application of the developed approach. The proposed solution can also be easily adaptable and applicable to the present BIM process since the representation of BIM data in different ontologies (BOT, ifcOWL, etc.) are within reach. © 2021 Copyright for this paper by its authors.",BIM; Competency questions; LOD; Ontologies; SPARQL queries,Architectural design; Construction; Construction industry; Information management; Life cycle; BIM; Building life cycle; Collaborative environments; Competency question; Exchange of information; Level-of-detail; Life cycle stages; Multiple disciplines; Ontological approach; Ontology's; Ontology,Conference Paper
249,"Faron-Zucker C., Le Thanh N., Yurchyshyna A., Zarli A.",Ontological approach for the conformity checking modeling in construction,2008,ICEIS 2008 - Proceedings of the 10th International Conference on Enterprise Information Systems,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349101638&partnerID=40&md5=17d956a7ebf6d2f1cf4d2b27ce960211,"This paper presents an ontological method and a corresponding system C3R aimed to semi-automatically check the conformity of a construction project represented by RDF graph against a set of construction norms formalized as SPARQL queries. Our conformity-checking model has a two-level structure: the reasoning relies on matching of these queries and graphs and on expert rules guiding the checking process itself by optimal schedulilng of matching procedures, according to semantic annotations of conformity queries, which integrate the meta-knowledge on the checking process (formalized with the help of CSTB experts). The reasoning results with a detailed (non)conformity report in terms of the Construction domain.",Conformity checking; Graph validation; Knowledge extraction in construction; Ontologies in construction; Semantic Web in construction,Conformity checking; Construction projects; Expert rule; Graph validation; Knowledge extraction; Knowledge extraction in construction; Level structure; Meta-knowledge; Ontological approach; RDF graph; Semantic annotations; Artificial intelligence; Construction industry; Decision support systems; Decision theory; Information systems; Model checking; Ontology; Semantics; Semantic Web,Conference Paper
164,"Lee S., Kim K., Yu J.",Ontological inference of work item based on BIM data,2015,KSCE Journal of Civil Engineering,10.1007/s12205-013-0739-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925482048&doi=10.1007%2fs12205-013-0739-5&partnerID=40&md5=ebdb8529fbcee7165ac652dee88af729,"When engineers prepare a construction cost estimate for budgeting purposes, they use plans, specifications, and available cost data at the completion of the building design phase. They usually take off the quantities of material and related work items and assign appropriate unit costs. In this case, unit cost assignment is solely at the engineer’s professional discretion. Building Information Modeling (BIM) is widely adopted in the building construction industry. Tools can be used to automate material quantity, minimizing the time necessary for engineers to engage in the quantity measuring process. This function, however, does not provide any information on work items that are related to materials in the Bill of Quantity (BOQ). Thus, engineers still need to verify associated work items and assign unit costs. This research proposes an ontological inference of work item that enables an automated search of the most appropriate work items and their associated unit costs. This ontology contains semantic information for work items and work conditions, as well as a semantic reasoning rule that activates the ontology. A case study confirms that the proposed ontology and semantic reasoning rule can work in real-world situations. This paper contributes by eliminating subjective decision-making via search of appropriate work items for cost estimation and the use of BIM data extracted from IFCXML. The proposed ontological approach to building cost estimation will assist engineers in more readily using BIM data from IFCXML and will be helpful in automation of the whole estimation process. © 2015, Korean Society of Civil Engineers and Springer-Verlag Berlin Heidelberg.",BIM; cost estimation; ontology; work condition; work item,Budget control; Construction; Construction industry; Cost benefit analysis; Cost estimating; Decision making; Engineers; Ontology; Semantics; Building construction industry; Building Information Model - BIM; Cost estimations; Ontological approach; Real world situations; Semantic information; Work condition; Work items; Architectural design,Article
68,"Esnaola-Gonzalez I., Bermúdez J., Fernandez I., Arnaiz A.",Ontologies for observations and actuations in buildings: A survey,2020,Semantic Web,10.3233/SW-200378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094830860&doi=10.3233%2fSW-200378&partnerID=40&md5=c7f6cd97d9a0520f7f92cbe9f29e5cff,"Spaces and elements in the built environment have emerged as platforms where materializations of observations and actuations promise to be very profitable. The advent of the Internet of Things (IoT) paves the way to address this challenge but the heterogeneity of the represented knowledge about these artifact systems poses a real problem. Ontologies can be considered as part of the solution to overcome the IoT's inherent hurdles. A wise option promoted by recent approaches is to design networks of complementary ontologies. However, different points of view are possible and such diversity could lead to interoperability problems. This article advocates for a networked ontology infrastructure conceived on a principled basis guided by documented judicious conceptualizations. In this regard, this survey points towards ontologies involved in conceptualizations of observations and actuations, where the utility of that conceptualization arises when some features of interest need to be observed or acted upon. For each of the reviewed ontologies, their fundamentals are described, their potential advantages and shortcomings are highlighted, and the use cases where these ontologies have been used are indicated. Additionally, use case examples are annotated with different ontologies in order to illustrate their capabilities and showcase the differences between reviewed ontologies. Finally, this article tries to answer two research questions: Is there a firm basis, broadly admitted by the community, for the development of such a networked ontology infrastructure for the observations and actuations in buildings? What ontologies may be considered helpful towards that goal?. © 2020 - IOS Press and the authors. All rights reserved.",actuations; actuator; BIM; Observations; ontology; sensor,,Review
43,"Karlapudi J., Valluru P., Menzel K.",Ontology Approach for Building Life Cycle Data Management,2021,Computing in Civil Engineering 2021 - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2021,10.1061/9780784483893.091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132583768&doi=10.1061%2f9780784483893.091&partnerID=40&md5=75cbdac61c79b03844b548170ea14f2c,"The architecture, engineering, and construction industry involves multiple disciplines and activities throughout the building life cycle stages (BLS). To enable collaboration amongst these disciplines iterative and coordinated exchange of information is required. This improves the design process over multiple BLS. Since the last decade, BIM is a well-known approach to achieve collaboration through semantic representation and exchange of domain data. Despite the improvement, there is a lack of efficient implementation and management of building life cycle functionalities in existing BIM solutions, because of their fundamental heterogeneity, complexity, and adaptability. This research focuses on these issues and addresses a clear perception through analysis of BLS from various standards and norms. The paper concentrates on the demonstration of efficient representation of various BLS through the ontological approach and their effective involvement in BIM data management. With the validation and evaluation through SPARQL queries, this paper presents an ontological framework for building life cycle data management. © 2021 Computing in Civil Engineering 2021 - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2021. All rights reserved.",,Architectural design; Construction industry; Life cycle; Ontology; Semantics; Architecture engineering; Building life cycle; Cycle data; Design-process; Exchange of information; Life cycle stages; Multiple buildings; Multiple disciplines; Ontology's; Semantic representation; Information management,Conference Paper
301,"Tesfagaber G., Bouchlaghem N.M., Baldwin A.N., Cutting-Decelle A.F., Malik M., Khalfan A.",Ontology Modeling of IDEF3 Process Description for AEC Applications Interoperability,2003,"Contruction Research Congress, Winds of Change: Integration and Innovation in Construction, Proceedings of the Congress",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342442466&partnerID=40&md5=16b4530cfa545b3c8be1a9a68e966840,"The increased complexities of on-site construction process with subsequent need for complex information management has raised a need for advanced tools and techniques, which assist in the planning and management of the complex on-site construction process. Today there are a wide range of computer applications, which deal with the manipulation and representation of construction process information. However, almost all of the construction software applications are used throughout the construction project's lifecycle to deal with individual problems and support specific information requirements working in a stand-alone manner each with its own and unique information representation, file formats and terminology. As a result information sharing between applications is inconsistent, difficult and some times impossible without application specific translators, as the meaning of the information can be completely dependent on the context in which it is viewed and interpreted. Nevertheless, an accurate and consistent process information exchange between construction applications could benefit the construction industry tremendously in terms of time and cost of a project. One way of achieving such integration is through the development of a common representation of the underlying concepts of construction process.",Aec software applications; Idef3 process description; Interoperability; Ontology,AEC software applications; IDEF3 process description; On-site construction; Ontology; Computer aided design; Construction industry; Data transfer; Electronic data interchange; Information management; Project management; Standards; Interoperability,Conference Paper
284,"Issa R.R.A., Muds I.",Ontology based framework using a semantic web for addressing semantic reconciliation in construction,2006,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/11888598_33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751356873&doi=10.1007%2f11888598_33&partnerID=40&md5=71130d15e7172fb4e92ef7db6c468720,"Exchanging, sharing, or integrating information in the construction industry involve the reconciliation of multiple data formats, structures and schemas with minimal human interaction. Approaching interoperability employing these models via integration, mapping or merging information forces the use of purely syntactical layers with heavy human intervention. Enhancing our ability to explicitly model information and to find methods that consistently harmonize the construction participant's use of common language will allow interoperability to be moved to new levels of flexibility and automation by structuring the information upon semantic levels. These levels must have conceptualization aspects to define knowledge, a common vocabulary that covers the syntax, symbols, grammars, and axiomatization that captures inference. Our approach inherits the ability of enhancing interoperability at the syntactic and semantic levels of the Semantic web and proposes onto-semantic schemas, which are ontology constructs of concepts of the construction domain. The approach produces an analysis from the primitives to more refined concepts using the Semantic Web's power of representation with the purpose of enhancing interoperability at semantic and syntactic levels. © Springer-Verlag Berlin Heidelberg 2006.",,Computer programming languages; Data reduction; Interoperability; Mathematical models; Semantics; Syntactics; World Wide Web; Conceptualization; Semantic levels; Syntactic levels; Information retrieval,Conference Paper
75,"Gregor M., Tibaut A.",Ontology based information creation approach for digital twins: Early-stage findings,2020,Studies in Computational Intelligence,10.1007/978-3-030-27477-1_31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070571806&doi=10.1007%2f978-3-030-27477-1_31&partnerID=40&md5=80d410e979c9569dcf3ad7e729fadab8,"Digitalization and consistency of information about existing buildings, held by the owners, facility managers, local and national authorities, is a common issue for asset management or any other building life-cycle analysis or optimization. The digital twin concept could provide the solution; however, the creation of appropriate input data has been the main roadblock in adoption and application. The information needs for creation of digital twins of existing buildings are vast and as such none of the existing research approaches and/or algorithms are capable of holistic data collection to be used as input. A prevailing method for gathering geometrical data of existing assets is laser scanning, where a point cloud with high precision and high data volume is produced. The detection of geometrical and/or semantic information from the point cloud data has been recently a goal of many research initiatives; however they were usually focused on single purpose data extraction, thus limiting wider application. In the paper, an ontology-based approach of information creation is presented that minimizes human assistance, interaction with raw data and processing resources while increasing expressive power of the asset’s digital twin model for more efficient reasoning. © 2020, Springer Nature Switzerland AG.",BIM; Built environment; Digital twin; Ontology; Point cloud,,Book Chapter
264,"Sandkuhl K., Ohgren A., Smimov A., Shilov N., Kashevnik A.",Ontology construction in practice - Experiences and recommendations from industrial cases,2007,"ICEIS 2007 - 9th International Conference on Enterprise Information Systems, Proceedings",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349579296&partnerID=40&md5=61af20782a736ab916bbb57953965c12,"Significant progress in ontology engineering during the last decade resulted in a growing interest in using ontologies for industrial applications. Based on case studies from different industrial domains, this paper presents experiences from ontology development and gives recommendations for industrial ontology construction projects. The recommendations include (1) using defined roles in a matrix project organisation, (2) perspectives on generalisation/ specialisation strategy and ontology lifecycle phases, and (3) aspects of user participation in ontology construction.",Experience report; Ontology construction; Ontology engineering,Experience report; Matrix project; Ontology construction; Ontology development; Ontology engineering; User participation; Construction industry; Industrial applications; Information systems; Ontology,Conference Paper
288,"Ruikar D., Anumba C.J., Aziz Z., Carrillo P.M., Bouchlaghem N.M.",Ontology development for Semantic Web based services in construction,2005,"Proceedings of the 10th International Conference on Civil, Structural and Environmental Engineering Computing, Civil-Comp 2005",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053397534&partnerID=40&md5=95529acc4898a6f61fdbb2ae7e8a3de4,"This paper documents the aims, objectives and the main findings of the WiSeCon project (Wireless and Semantic Web-Based Integration of Construction Services) This project at Loughborough University explored the use of wireless communications and the Semantic Web in the integration of construction services. This paper describes the context and methods for deployment of wireless and Semantic Web based services in the construction sector. It discusses the potential for the use of next generation technologies such as the Semantic Web and how they will support and influence the building design process and its organisation. © 2005 Civil-Comp Press.",Construction services; Roadmap; Scenario development; Semantic Web; Wireless technologies,Building design process; Construction sectors; Construction services; Generation technologies; Loughborough University; Ontology development; Paper documents; Roadmap; Scenario development; Web-based service; Wireless communications; Wireless technologies; Computer aided engineering; Construction industry; Environmental engineering; Ontology; Technical presentations; User interfaces; Web services; Wireless telecommunication systems; Semantic Web,Conference Paper
176,"Bilgin G., Dikmen I., Birgonul M.T.",Ontology evaluation: An example of delay analysis,2014,Procedia Engineering,10.1016/j.proeng.2014.10.529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949121030&doi=10.1016%2fj.proeng.2014.10.529&partnerID=40&md5=4d591c34c0687a42603c20d7689be3b5,"Ontologies have a place in knowledge sharing with their ability to capture real world information in a machine readable environment. Their application varies from any approach structured on ontological commitment to meta-level ontologies serving for variety of purposes. This variety continues also in methodologies for constructing the ontologies. There are wide range of ontologies differing in size and complexity that are created with different design criteria. The main point with the ontologies is their structure and ability to serve for the intended purpose. This is only granted with the continuous evaluation of ontologies in the construction process, and also before release or reuse of the ontology. Ontology evaluation methods cluster around two concepts such as verification methods that ensure the structure of the ontology, and validation methods that examine their applicability in real world. In light of these, different approaches as quantitative and qualitative methods are depicted in literature from subjective evaluations by experts to tools, all of which investigate different characteristics of ontologies. Objectives of this study are to underline the importance of ontology evaluation and to present an employed validation method used during ontology development for delay analysis. In this context, first; literature review on ontology evaluation is presented. Second, a delay analysis ontology is introduced with its basics to lay the foundations of the study. Cases taken from the Turkish construction industry are exemplified to explain the utilized ontology validation process. Comparison of the concepts in the constructed ontology with the expert reports written for each case is used to evaluate the ontology. Furthermore, alternative validation techniques are discussed as well as possible attempts to keep it responsive and up-to-date. © 2014 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license.",Construction sector; Delay analysis; Ontology; Ontology evaluation; Ontology validation,Ontology; Construction sectors; Delay analysis; Ontological commitment; Ontology evaluations; Ontology validations; Quantitative and qualitative methods; Real-world information; Turkish construction industries; Construction industry,Conference Paper
