,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Use in Thesis,Priority,Use for Thesis,DOI Link
77,"Beetz J., Van Leeuwen J., De Vries B.",IfcOWL: A case of transforming EXPRESS schemas into ontologies,2009.0,10.1017/S0890060409000122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349154149&doi=10.1017%2fS0890060409000122&partnerID=40&md5=c7747d560e734da00c4cc439139b474b,"Ontologies have been successfully applied as a semantic enabler of communication between both users and applications in fragmented, heterogeneous multinational business environments. In this paper we discuss the underlying principles, their current implementation status, and most importantly, their applicability to problems in the building information modeling domain. We introduce the development of an ontology for the building and construction sector based on the industry foundation classes. We discuss several approaches of lifting modeling information that is based on the express family of languages for data modeling onto a logically rigid and semantically enhanced ontological level encoded in the W3C Ontology Web Language. We exemplify the added value of such formal notation of building models by providing several examples where generic query and reasoning algorithms can be applied to problems that otherwise have to be manually hard-wired into applications for processing building information. Furthermore, we show how the underlying resource description framework and the set of technologies evolving around it can be tailored to the need of distributed collaborative work in the building and construction industry. Copyright © 2009 Cambridge University Press.",Building Information Modeling; Knowledge Representation; Model-Driven Architectures; Ontologies,Added values; Building and construction; Building Information Modeling; Building model; Collaborative Work; Data modeling; Formal notations; Industry Foundation Classes - IFC; Model-Driven Architectures; Multinational business; Ontology web language; Reasoning algorithms; Resource description framework; Schemas; Underlying principles; Architectural design; Construction industry; Knowledge representation; Linguistics; Model buildings; Query languages; Systems analysis; Ontology,Article,,2.0,"Check if from Powels. ifcOWL, ontology and connection to w3C owl.",
78,"Lebosse M., Halin G., Besanfon F., Fuchs A.",Incorporating BIM Practices into Reuse Process of Timber: Propositions of a digital workflow and tool for reclaiming structural pieces of wood,2022.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139777282&partnerID=40&md5=eadabb1cbc86d4925fca6f6864c97596,"In the framework ofa doctoral thesis, we investigate with a digital approach, methods, practices and tools that could support the reuse process of materials, specifically timber resources. We have structured this paper around the study of a digital workflow and tool. More than supplying the thesis working tools, their role is to achieve on-site assessment of wooden structural elements, to reintegrate them into new constructions projects as new timber productsfrom the market. The context of our research is French AEC (Architecture, Engineering and Construction) sector, where we lead interviews and take part in construction projects (case studies). However, we lean as well on the literature review of materials reuse and timber assessment. © 2022, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",BIM; Circular Economy of Wood; Deconstruction Assessment; Digital Tools and Workflow; Reclaimed Timber; Reuse,,Conference Paper,,2.0,"Reuse of structural elements, Timber. Interesting: information needed for Reuse of timber elements. Read conclusion, method.",
79,"Menasce, Anna",Information flow for building components reuse. Potential applications of Materials Passports.,,,,,,,,,2.0,use formalization of Knowledge - Use of Framework for formalization,
80,"Niknam M., Karshenas S.",Integrating BIM and Project Schedule Information Using Semantic Web Technology,2016.0,10.1061/9780784479827.070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976428115&doi=10.1061%2f9780784479827.070&partnerID=40&md5=e8abcd9a2c88f96e97baf94f1dfbd678,"A construction project requires collaboration of a large number of individuals working in different organizations to deliver the project on time and within the budget. Architecture, engineering, and construction industry spends time and money to solve the information sharing and interoperability issues between different domains. With the advent of building information modeling, a 3D CAD model of a project is used as a shared knowledge resource during the design, construction, and facility management phases of a project's life cycle. Currently, 4D models are created by combining CAD and schedule information. A 4D model is useful for detecting potential construction conflicts during the project planning and design and a valuable tool during construction. However, creating 4D models requires a great amount of human involvement. An approach that facilitates integrating BIM and schedule information can improve efficiency and is highly desirable. This paper presents a new approach to information modeling using the Semantic Web technology. The Semantic Web provides an infrastructure and a data modeling format that allows computers to access and combine information distributed over the Internet. The paper discusses: (1) ontologies that the authors have developed for BIM and project schedule information; (2) how ontologies are used for creating project knowledge bases in RDF/OWL format; and (3) how project knowledge bases can facilitate machine processing of project information and semantic interoperability among project knowledge bases. The Semantic Web approach allows information to be saved once at the provider source and be used by authorized users as needed. This means BIM information is created and maintained by designers and project schedule is created and maintained by schedulers on their respective servers. This would allow the latest BIM and project schedule information to be accessed over the Internet and combined for various purposes. © ASCE.",,"Architectural design; Budget control; Computer aided design; Construction industry; Information analysis; Information management; Information theory; Information use; Internet; Interoperability; Life cycle; Office buildings; Semantic Web; Architecture , engineering , and constructions; Building Information Model - BIM; Construction projects; Information Modeling; Project informations; Semantic interoperability; Semantic web approach; Semantic Web technology; Project management",Conference Paper,,3.0,Look at point (2) how ontologies are used for creating project knowledge bases in RDF/OWL format,
81,"Usman Z.S., Tah J.H.M., Abanda F.H., Nche C.",Integration of an ontology with ifc for efficient knowledge discovery in the construction domain,2018.0,10.1201/9780429506215-54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079330758&doi=10.1201%2f9780429506215-54&partnerID=40&md5=4ad6d2ad1201101e5ffe93fe7b9f41d4,"In the most recent years, the Semantic Web applied to Building Information Modelling and Industry Foundation Classes are the most widely recognized efforts in the digitalization of products in the architectural, engineering and construction industry. This study performs knowledge discovery of construction products from domain experts to build an ontology. However, ontology developed becomes an isolated conceptualization. In order to get rich domain ontology, novel approach is to retrieve knowledge from domain-specific online product repositories such as the industry foundation classes. This study identifies similarities between the industry foundation classes and ontology likewise their differences with the hope that it would develop an enhanced knowledge conceptualization of the domain. Integration of IFC and ontology will mean that concepts represent well-established standard terms rich in domain knowledge. Other semantic web technologies can then be exploited on the resulting application to perform data querying, consistency checking, data reasoning, knowledge inference and so much more. Thus, the resulting ontology could be standardized and be easily applied for use in practice in the industry. © 2018 Taylor & Francis Group, London.",Industry Foundation Classes (IFC); Ontology; Photovoltaic Systems (PV); Semantic Web (SW); Web Ontology Language (OWL),"Construction industry; Foundations; Photovoltaic cells; Process engineering; Semantic Web; Architectural , engineering and constructions; Building Information Modelling; Construction products; Industry Foundation Classes - IFC; Knowledge conceptualization; Photovoltaic systems; Semantic Web technology; Web ontology language; Ontology",Conference Paper,,3.0,compare with Powels - otherwise discard,
82,"McGlinn, Kris; Wagner, Anna; Pauwels, Pieter; Bonsma, Peter; Kelly, Philip; O’Sullivan, Declan",Interlinking geospatial and building geometry with existing and developing standards on the web,,10.1016/j.autcon.2018.12.026,,,,,,,3.0,Read Conclusion. Purely out of interest. Not necessarily valuable for Thesis.,
83,"Sattler, Léa; Lamouri, Samir; Pellerin, Robert; Maigne, Thomas",Interoperability aims in Building Information Modeling exchanges: a literature review,,10.1016/j.ifacol.2019.11.180,,,,,,,3.0,Link to BIM from other sources?,
84,,Life Cycle Analysis and Assessment in Civil Engineering: Towards an Integrated Vision,,,,,,,,,2.0,tbd,
85,,MP_Madaster.pdf,,,,,,,,,2.0,tbd,
86,"Honic, Meliha; Kovacic, Iva; Aschenbrenner, Philipp; Ragossnig, Arne",Material Passports for the end-of-life stage of buildings: Challenges and potentials,,10.1016/j.jclepro.2021.128702,,,,,,,3.0,"Look at conclusion, otherwise discard",
87,"Heinrich, Matthias",Material flows of the German building sector,,,,,,,,,3.0,Introduction - Context Steel Reuse and Material Flows,
88,"Sprecher, Benjamin; Verhagen, Teun Johannes; Sauer, Marijn Louise; Baars, Michel; Heintz, John; Fishman, Tomer",Material intensity database for the Dutch building stock: Towards Big Data in material stock analysis,,10.1111/jiec.13143,,,,,,,2.0,Big Data in construction - tbd.,
89,"Luscuere, Lars Marten",Materials Passports: Optimising value recovery from materials,,10.1680/jwarm.16.00016,,,,,,,3.0,"Overview MPs, look at conclusion, otherwise discard",
90,"Luscuere, Lars","Materials Passports: Providing Insights in the Circularity of Materials, Products and Systems - Lars Luscuere",,,,,,,,,2.0,tbd,
91,"Munaro, Mayara Regina; Tavares, Sergio Fernando",Materials passport's review: challenges and opportunities toward a circular economy building sector,,10.1108/BEPAM-02-2020-0027,,,,,,,1.0,Material Passports - Understanding and information (set of information),
92,"Heinrich, Matthias; Lang, Werner",Materials passports - best practice,,,,,,,,,3.0,tbd,
93,"Massop, Jur",Metals Value Chain Report,,,,,,,,,3.0,"Look more in depth if reuse is also a topic. If not, discard",
94,"Keller P., McConnell J., Thostenson E.T., Schumacher T.",Methodology for construction stress evaluation for reuse of structural steel,2016.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019004892&partnerID=40&md5=1c85b6b13b61e961fe6487d21b0cf3e9,"Reuse of structural steel is uncommon despite significant environmental advantages that could be achieved via this practice. The most commonly known reason for this fact is the lack of information about stress history in used structural steel members. To address this deficiency, prior to construction, selected steel members of a steel-framed building were instrumented before they are delivered to the construction site. Continuous strain data was collected during the entire erecting process of the new building using a wireless sensor network to obtain novel information on construction-induced stresses. The collected data will be used to assess the magnitude of construction induced stresses. These stresses are assumed to deviate from design assumptions the most and are therefore the greatest concern for reusing structural steel.",Buildings; Construction; Field monitoring; Reuse; Steel; Strain; Temperature; Wireless sensor network,Building materials; Buildings; Steel; Steel construction; Strain; Sustainable development; Temperature; Wireless sensor networks; Construction sites; Field monitoring; Novel information; Reuse; Steel framed buildings; Stress evaluations; Structural steel members; Structural steels; Construction,Conference Paper,,2.0,Reuse of structural steel elements - information about stress,
95,"Aldebei, Faisal; Dombi, Mihály",Mining the Built Environment: Telling the Story of Urban Mining,,10.3390/buildings11090388,,,,,,,1.0,Introduction - Context for Research,
96,"Iacovidou, Eleni; Purnell, Phil","Mining the physical infrastructure: Opportunities, barriers and interventions in promoting structural components reuse",,10.1016/j.scitotenv.2016.03.098,,,,,,,1.0,"Introduction - Reuse of structural building elements. Can help to link reuse, reusability and reuse of structural elements to Big Data (?)",
97,"MAQUENHEM, Thibault",Méthodologie de diagnostic et d'évaluation des performances pour le réemploi des éléments d'ossature en acier,,,,,,,,,3.0,Reuse of Steel components - information (tbd),
98,"Gupta, Adity; Tyagi, Swati; Panwar, Nupur; Sachdeva, Shelly; Saxena, Upaang",NoSQL databases: Critical analysis and comparison,,10.1109/IC3TSN.2017.8284494,,,,,,,1.0,Database design and choice - build up argument for use of NoSQL and differentiate between different NoSQL DBs.,
99,"Fivet C., Brütting J.","Nothing is lost, nothing is created, is reused structural design for a circular economy",2020.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081161767&partnerID=40&md5=6244765a73d3f783122123071575c66b,"Structural designers’ efforts to reduce environmental impacts traditionally consist of developing systems that minimise material quantities or use low-impact materials. A third strategy is currently (re)emerging: The reuse of structural components over multiple service lives and in new layouts. Still in its infancy, this circular economy strategy disrupts structural design practice in many ways: Rather than manufacturing components after the design of a system, the system is synthesised from a given stock of reclaimed components; versatility, reversibility and transformability become hard requirements for all loadbearing systems and components; costs, performance and environmental assessments span multiple service lifecycles. There is consequently a sudden lack of expertise, design tools, technological solutions and relevant metrics. This article contextualises the effects of the circular industrial economy upon structural design practice and reviews recent and future developments in the field. © 2020, Institution of Structural Engineers. All rights reserved.",,Life cycle; Structural design; Circular economy; Environmental assessment; Load-bearing systems; Manufacturing components; Material quantities; Multiple services; Structural component; Technological solution; Environmental impact,Article,,2.0,"Reuse of structural elements - look for information for reuse, read conclusion and method",
100,"İzmirli, Damla; Ekren, Banu Y.; Kumar, Vikas; Pongsakornrungsilp, Siwarit",Omni-Chanel Network Design towards Circular Economy under Inventory Share Policies,,10.3390/su13052875,,,,,,,3.0,tbd - look at conclusion to see what they exactly do. Inventory? ,
101,"Karlapudi J., Valluru P., Menzel K.",Ontological approach for LOD-sensitive BIM-data management,2021.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124426983&partnerID=40&md5=0d4795a39b7451e22b2d0a9a231c7fbc,"The construction industry is a collaborative environment with the involvement of multiple disciplines and activities throughout the Building Lifecycle Stages. The collaboration requires the iterative and coordinated exchange of information for significant improvement of the building design, construction and management. The successful representation of these information refinements enables the identification of the required level of detail (LOD) for data sharing parameters between the multiple disciplines. Since the last decade, LOD is a promising approach for efficient representation of semantically rich BIM data in different levels. Despite the improvement, there is a lack of efficient implementation in building lifecycle functionalities, because of their fundamental heterogeneity, versatility and adaptability. The proposed approach enables the representation of LOD-sensitive BIM data through the formal definition of ontologies. The paper validates this approach based on the concept of competency questions and their respective SPARQL queries. With the demonstration and validation, the paper provides the conceptual proof for the practical application of the developed approach. The proposed solution can also be easily adaptable and applicable to the present BIM process since the representation of BIM data in different ontologies (BOT, ifcOWL, etc.) are within reach. © 2021 Copyright for this paper by its authors.",BIM; Competency questions; LOD; Ontologies; SPARQL queries,Architectural design; Construction; Construction industry; Information management; Life cycle; BIM; Building life cycle; Collaborative environments; Competency question; Exchange of information; Level-of-detail; Life cycle stages; Multiple disciplines; Ontological approach; Ontology's; Ontology,Conference Paper,,3.0,Look at SPARQL-Queries and read conclusion,
102,"Karshenas S., Niknam M.",Ontology-based building information modeling,2013.0,10.1061/9780784413029.060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887400134&doi=10.1061%2f9780784413029.060&partnerID=40&md5=4f54c6e4d1f9a854d3000aaba5dda8e4,"The World Wide Web has provided a vast distributed information space that is primarily designed for human consumption. The enmeshment of the Web and various business processes has made it imperative to define business information in a format that facilitates machine-to-machine exchange and automated processing. The construction industry is not an exception; construction business processes depend on a diverse set of information sources. For efficient processing of the construction business information, it is necessary to publish the information in a format that allows computer applications to easily discover, query and share the information. Currently, the standard for representing, accessing, and sharing a building model is the Industry Foundation Classes (IFCs) data model. Several researchers have investigated the limitations of IFCs data model for interoperability among heterogeneous software applications. This paper presents the results of an on-going research on an ontology-based approach to building information modeling to facilitate information exchange among different knowledge domain applications. The approach developed in this study is based on a shared building ontology that models building domain element types and element relationships. The information systems to be integrated should be modeled using the shared ontology; each knowledge domain adds its own element properties to the shared building ontology. SWRL rules are used for mapping element properties from one domain to another. An example demonstrates how the developed approach can facilitate project information sharing between design and estimating domains. © 2013 American Society of Civil Engineers.",,Application programs; Architectural design; Construction industry; Information systems; Information theory; Knowledge management; Ontology; Query processing; Building Information Model - BIM; Business information; Construction business; Distributed information; Heterogeneous software applications; Industry Foundation Classes - IFC; Information exchanges; Project informations; Information dissemination,Conference Paper,,2.0,Understanding of developing and connecting ontologies. ,
103,"Park M., Lee K.-W., Lee H.-S., Jiayi P., Yu J.",Ontology-based construction knowledge retrieval system,2013.0,10.1007/s12205-013-1155-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886292123&doi=10.1007%2fs12205-013-1155-6&partnerID=40&md5=10cd78de4b0f1b18ecac5afd92a1f213,"Managing knowledge effectively is critical to the competitive power of a company. Knowledge is used as an important resource in many industrial areas, and so it follows that there is a growing interest in knowledge management within the construction industry. Yet because of the unique characteristics of construction knowledge created during projects, there are limitations to its capture and reuse. The knowledge produced during construction projects is project-oriented, experiential, and context specific; due to these characteristics, the reuse of knowledge is difficult. In this research, research team focus on capturing and identifying the characteristics of construction knowledge, then propose a method for applying these characteristics to the development of an ontology-based construction knowledge retrieval system. Moreover, research team developed a system prototype that applies ontology in suggesting related search words during the search process and validated the effectiveness of the prototype in terms of precision and recall rate. By applying the prototype, the precision and recall rate was improved by approximately 10∼30%. © 2013 Korean Society of Civil Engineers and Springer-Verlag Berlin Heidelberg.",construction knowledge; information technology; knowledge retrieval; ontology,Competitive power; Construction knowledge; Construction projects; Industrial area; Knowledge retrieval; Precision and recall; Research teams; System prototype; Construction industry; Information retrieval; Information technology; Knowledge management; Research; Ontology,Article,,1.0,"Building an ontology for construction industry - and construction knowledge retrieval system - might be used as a method to ""capture"" the knowledge of Zirkular?",
104,"Wang G., He G., Bian L.",Ontology-based interorganizational knowledge management in sustainable construction project,2011.0,10.4028/www.scientific.net/AMR.243-249.6339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958048907&doi=10.4028%2fwww.scientific.net%2fAMR.243-249.6339&partnerID=40&md5=61b94c1dbbc6b4f71a67fa11ea8fe7b0,"Due to the great negative impact, the construction industry needs to undergo a paradigm shift from traditional construction to sustainable construction. To reach the goal of sustainable development, the construction industry needs to intensify its efforts to move to a knowledge intensive mode. Based on the analysis of e-Cognos and the concept of ontology, this paper proposes that e-Cognos ontology can be applied in the development of sustainable construction process ontology, which is a key part of knowledge management system (KMS). Following this, the application process of ontology-based KMS is analyzed using IDEF0 modeling method. Finally, this paper analyzes interorganizational collaboration model in sustainable project. © (2011) Trans Tech Publications.",IDEF0; Knowledge management; Ontology; Sustainable construction,Application process; IDEF0; Interorganizational collaboration; Key parts; Knowledge management system; Modeling method; Negative impacts; Ontology-based; Paradigm shifts; Sustainable construction; Sustainable project; Building materials; Civil engineering; Construction equipment; Construction industry; Knowledge based systems; Knowledge management; Ontology; Project management,Conference Paper,,2.0,Sustainable Construction Ontology - look at conclusion,
105,"Zhang L., Issa R.R.A.",Ontology-based partial building information model extraction,2013.0,10.1061/(ASCE)CP.1943-5487.0000277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886505825&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000277&partnerID=40&md5=b9a8c8ddfa9c19adfe8fc230f9960bfa,"The current application of building information modeling (BIM) in the construction industry is generally focused on using the complete building information model during the life cycle of the project. With more information being added to the model, the size of the model file and the difficulty to manipulate the model increase. However, different use scenarios may only require access to certain specific information stored in the model. In contrast with the ample research of ontology applications in construction knowledge management, research of ontology in construction modeling has been limited. Hence, the purpose of this study is to use ontology in the extraction of a partial building information model from the original complete model. The building information models covered in this study are in the Industry Foundation Classes (IFC) format, which is a widely supported open BIM standard. An ontology TBox is developed according to the existing IFC schema specifications. For each specific IFC model, an ontology ABox is generated at run time, combining the ontology TBox and the IFC instances in the model. The ABox works as an index in the partial model extraction algorithm. A prototype Java program based on the algorithm was developed to demonstrate and validate the algorithm using both a sample model and an IFC model from a real building. The results indicated that the use of ontology provides a valid way to deal with the technical complexity of IFC models. © 2013 American Society of Civil Engineers.",Building information modeling (BIM); Extraction algorithm; Industry Foundation Classes (IFC); Ontology; Partial model,Building Information Model - BIM; Construction knowledge managements; Extraction algorithms; Industry Foundation Classes - IFC; Ontology applications; Partial modeling; Specific information; Technical complexity; Algorithms; Buildings; Computer software; Construction industry; Extraction; Java programming language; Knowledge management; Ontology; Architectural design,Conference Paper,,1.0,Difference between ontology for construction knowledge management and ontology for construction modeling. Look at the differentiation,
106,"Dunant, Cyrille F.; Drewniok, Michał P.; Sansom, Michael; Corbey, Simon; Cullen, Jonathan M.; Allwood, Julian M.",Options to make steel reuse profitable: An analysis of cost and risk distribution across the UK construction value chain,,10.1016/j.jclepro.2018.02.141,,,,,,,2.0,Read Conclusion - Helpful for information on steel beam reuse (also barriers?),
107,,Orms - Material Passports,,,,,,,,,2.0,tbd,
108,"Zhou Z., Goh Y.M., Shen L.",Overview and Analysis of Ontology Studies Supporting Development of the Construction Industry,2016.0,10.1061/(ASCE)CP.1943-5487.0000594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217086&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000594&partnerID=40&md5=5ec5f002e31865699146067289d621d8,"Being information-intensive, the construction industry has the feature of multiagents, including multiparticipants from different disciplines, multiprocesses with a long-span timeline, and multidocuments generated by various systems. The multistakeholder context of the construction industry creates problems such as poor information interoperability and low productivity arising from difficulties in information reuse. Many researchers have explored the use of ontology to address these issues. This study aims to review ontology research to explore its trends, gaps, and opportunities in the construction industry. A systematic process employing three-phase search method, objective analysis and subjective analysis, helps to provide enough potential articles related to construction ontology research, and to reduce arbitrariness and subjectivity involved in research topic analysis. As a result, three main research topics aligned with the ontology development lifecycle were derived as follows: information integration based on ontology, ontology building, and ontology application. In addition, research gaps and the corresponding research agenda were identified. This detailed review provides the basis for further studies on the use of ontology in the construction industry. The research trends and gaps can serve as motivation for researchers and practitioners to work on the next generation of ontology studies to support the development of the construction industry. © 2016 American Society of Civil Engineers.",Cluster analysis; Construction industry; Information interoperability; Knowledge representation; Ontology; Semantic web; Word cloud,Cluster analysis; Construction industry; Interoperability; Knowledge representation; Ontology; Semantic Web; Information integration; Information interoperability; Information re use; Ontology applications; Ontology development; Subjective analysis; Systematic process; Word clouds; Information use,Article,,1.0,Overview over ontologies in the construction industry,
109,101Studios,PCDS.lu – Product circularity data sheet » PCDS IT system,,,,,,,,,1.0,tbd,
110,101Studios,PCDS.lu – Product circularity data sheet » The Circularity Dataset Initiative,,,,,,,,,2.0,tbd,
111,101Studios,PCDS.lu – Product circularity data sheet » The audit system,,,,,,,,,2.0,tbd,
112,,Passports for the Construction Sector,,,,,,,,,2.0,Information for Material Passports,
113,"Rakhshan K., Morel J.-C., Daneshkhah A.",Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,2021.0,10.1016/j.jobe.2021.102791,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109092899&doi=10.1016%2fj.jobe.2021.102791&partnerID=40&md5=71bac3a7df8897e5a9298e502c2fae73,"The construction sector is the largest consumer of raw materials and accounts for 25%–40% of the total CO2 emissions globally. Besides, construction activities produce the highest amount of waste among all other sectors. According to the waste hierarchies, reuse is preferred to recycling; however, most of the recovery of construction and demolition wastes happens in the form of recycling and not reuse. Part of the recent efforts to promote the reuse rates includes estimating the reusability of the load-bearing building components to assist the stakeholders in making sound judgements of the reuse potentials at the end-of-life of a building and alleviate the uncertainties and perceived risks. This study aims to develop a probabilistic model using advanced supervised machine learning techniques (including random forest, K-Nearest Neighbours algorithm, Gaussian process, and support vector machine) to predict the reuse potential of structural elements at the end-of-life of a building. For this purpose, using an online questionnaire, this paper seeks the experts’ opinions with actual reuse experience in the building sector to assess the identified barriers by the authors in an earlier study. Furthermore, the results of the survey are used to develop an easy-to-understand learner for assessing the technical reusability of the structural elements at the end-of-life of a building. The results indicate that the most significant factors affecting the reuse of building structural components are design-related including, matching the design of the new building with the strength of the recovered element. © 2021 Elsevier Ltd",Building structure; Gaussian process; K-nearest neighbours; Random forest; Reuse; Supervised machine learning,Construction industry; Decision trees; Gaussian distribution; Gaussian noise (electronic); Machine components; Nearest neighbor search; Structural design; Support vector machines; Surveys; Building structure; End of lives; Gaussian Processes; K-near neighbor; Load-bearing; Probabilistics approach; Random forests; Reuse; Structural elements; Supervised machine learning; Recycling,Article,,2.0,Reuse of structural elements - reusability,
114,,Product Circularity Data Sheet (PCDS),,,,,,,,,2.0,tbd,
115,"Pauwels P., De Farias T.M., Zhang C., Roxin A., Beetz J., Roo J.D., Nicolle C.",Querying and reasoning over large scale building data sets: An outline of a performance benchmark,2016.0,10.1145/2928294.2928303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044624002&doi=10.1145%2f2928294.2928303&partnerID=40&md5=1edaee36a482d8f3c13745c28eb65c5a,"The architectural design and construction domains work on a daily basis with massive amounts of data. Properly managing, exchanging and exploiting these data is an ever ongoing challenge in this domain. This has resulted in large semantic RDF graphs that are to be combined with a significant number of other data sets (building product catalogues, regulation data, geometric point cloud data, simulation data, sensor data), thus making an already huge dataset even larger. Making these big data available at high performance rates and speeds and into the correct (intuitive) formats is therefore an incredibly high challenge in this domain. Yet, hardly any benchmark is available for this industry that (1) gives an overview of the kind of data typically handled in this domain; and (2) that lists the query and reasoning performance results in handling these data. In this article, we therefore present a set of available sample data that explicates the scale of the situation, and we additionally perform a query and reasoning performance benchmark. This results not only in an initial set of quantitative performance results, but also in recommendations in implementing a web-based system relying heavily on large semantic data. As such, we propose an initial benchmark through which new upcoming data management proposals in the architectural design and construction domains can be measured. © 2016 ACM.",Benchmark; Big data; Building information modeling; Built environment; IFC; OWL; Reasoning; Semantic web,Architectural design; Benchmarking; Data handling; Information management; Semantic Web; Building Information Model - BIM; Building products; Built environment; Design and construction; Large scale buildings; Point cloud data; Reasoning; Reasoning performance; Big data,Conference Paper,,2.0,V as Variety - paper looks at different data handled in CI BigData. Especially look at '(1) gives an overview of the kind of data typically handled in this domain',
116,"Werbrouck J.M., Senthilvel M., Beetz J., Pauwels P.",Querying heterogeneous linked building data with context-expanded GraphQL queries?,2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068806275&partnerID=40&md5=2128318c30b25e467ca0eb415fb1e9fa,"Linked Data in the construction industry is a topic gaining serious interest over the last years. However, this interest remains largely academic and has not sparked much adoption of web technologies in the field. To nourish adoption of Linked Data in practice, access to the data has to be made more easy. SPARQL, the recommended RDF query language, has proven very powerful for retrieving and updating RDF datasets. However, due to its verbosity and complexity, it is often considered a threshold for developers to implement in their tools. In this paper, we compare SPARQL with Linked Data querying languages that extend the GraphQL syntax, in context of querying building datasets: HyperGraphQL and GraphQL-LD. Since it went open source in 2015, GraphQL has been adopted by a large community of developers, partly due to its elegance and conciseness. As a use case, the queries are performed on an RDF-based multi-model that relies on the recent ISO standard ICDD (ISO 21597). ICDD interlinks information on a sub-document identifier level, based on OWL. It is aimed at the industry in that it adds a layer of Linked Data to documentation formats that are still widely used in practice: IFC, spreadsheets, imagery etc. Therefore, it is considered a tuned use case for comparing these different RDF query languages. © 2019 CEUR-WS. All rights reserved.",GraphQL; ICDD; Linked Data; SPARQL,Construction industry; Data handling; ISO Standards; Query languages; Data querying; Document identifiers; GraphQL; ICDD; Open sources; RDF query language; SPARQL; Web technologies; Linked data,Conference Paper,,1.0,Overview on SPARQL and GRAPHQL - skim for information about SPARQL (RDF Query language). Furthermore useful for background information about the DBMS,
117,"Gobbo, Emilie; Ghyoot, Michaël; Paduart, Anne; Nasseredine, Mona",REUSE IN ENVIRONMENTAL IMPACT ASSESSMENT TOOLS A prospective report,,,,,,,,,3.0,Introduction - Why Reuse is important and it's impact,
118,"Durmisevic, Elma",REVERSIBLE BUILDINGS,,,,,,,,,1.0,Reusability,
119,,Reclaimed building products guide,,,,,,,,,2.0,Information on reused building elements,
120,"van den Berg, Marc; Voordijk, Hans; Adriaanse, Arjen",Recovering building elements for reuse (or not) – Ethnographic insights into selective demolition practices,,10.1016/j.jclepro.2020.120332,,,,,,,1.0,"Information which determine if an object is reusable or not (here from an ethnographic point of view) - can set reuse, reusepractice and need for information and reusability in relation to eachother - REUSABILITY! ",
121,"Hopkinson P., Chen H.-M., Zhou K., Wang Y., Lam D.",Recovery and reuse of structural products from end-of-life buildings,2018.0,10.1680/jensu.18.00007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064350430&doi=10.1680%2fjensu.18.00007&partnerID=40&md5=27badff91c29fba9e07081bd628664f1,"Buildings and construction have been identified as having the greatest potential for circular economy value creation. One source of value creation is to recover and reuse building products from end-of-service-life buildings, rather than destructive demolition and downcycling. While there is a trade in non-structural and heritage product recovery and reuse, the largest volume, mass and value of most buildings comprise structural elements-concrete, brick and masonry, and steel-which present many challenges. A comprehensive literature review confirms limited attention to innovation and advanced techniques to address these challenges and therefore the potential reuse of the stocks of accumulated building products globally and associated environmental benefits. Potential techniques being tested in an Engineering and Physical Sciences Research Council circular economy research programme are referenced as a key building block towards circular economy building system redesign. © 2019 Published with permission by the ICE under the CC-BY 4.0 license.",,Recovery; End-of-life buildings; Engineering and physical sciences research councils; Environmental benefits; Limited attentions; Literature reviews; Potential techniques; Research programmes; Structural elements; Buildings,Article,,3.0,Look at conclusion and method. Probably discard.,
122,"Luscuere, Lars; Zanatta, Rafaela; Mulhall, Douglas; Boström, Jan; Elfström, Lisa",Report development: EPEA Nederland BV and SundaHus i Linköping AB,,,,,,,,,2.0,tbd,
123,"Akanbi, Lukman; Oyedele, Lukumon; Davila Delgado, Juan Manuel; Bilal, Muhammad; Akinade, Olugbenga; Ajayi, Anuoluwapo; Mohammed-Yakub, Naimah",Reusability analytics tool for end-of-life assessment of building materials in a circular economy,,10.1108/WJSTSD-05-2018-0041,,,,,,,1.0,Reusability - Tool and information,
124,"Smeyers, Tijl; Deweerdt, Morgane; Mertens, Marilyn","Reuse Toolkit - The reclamation Audit, A guide to  inventory the reuse potential of construction products before demolition",,,,,,,,,2.0,Process of Reuse according to INTERREG / ROTOR,
